short_id,openalex_id,publication_year,publication_date,title,doi,source,type,cited_by_count,pdf_status,pdf_url,fulltext_screen_status,fulltext_exclusion_reason,low_baseline_arousal_class,repeated_use_class,habituation_class,eligibility_tier,extracted_evidence_status,batch_id,notes,last_updated_utc
W4408040522,https://openalex.org/W4408040522,2025,2025-02-28,"Physical activity and neuroplasticity in neurodegenerative disorders: a comprehensive review of exercise interventions, cognitive training, and AI applications",https://doi.org/10.3389/fnins.2025.1502417,Frontiers in Neuroscience,review,32,downloaded,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2025.1502417/pdf,exclude,outcome_not_tonic_arousal_or_vigilance,AX_review_or_mixed_population,,,,not_applicable,B001,triage:B001; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4412037054,https://openalex.org/W4412037054,2025,2025-07-04,Biofeedback for Motor and Cognitive Rehabilitation in Parkinson’s Disease: A Comprehensive Review of Non-Invasive Interventions,https://doi.org/10.3390/brainsci15070720,Brain Sciences,review,4,downloaded,https://www.mdpi.com/2076-3425/15/7/720/pdf?version=1751621530,exclude,outcome_not_tonic_arousal_or_vigilance,AX_review_or_mixed_population,,,,not_applicable,B001,triage:B001; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4390562168,https://openalex.org/W4390562168,2024,2024-01-03,"Phytochemical Contain, Biological Properties and Toxicities of Herbals Used for Doping",https://doi.org/10.20944/preprints202401.0223.v1,Preprints.org,preprint,1,downloaded,https://www.preprints.org/manuscript/202401.0223/v1/download,exclude,wrong_domain,A1_explicit_low_arousal,,H3_unclear_or_mixed,,not_applicable,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4391110725,https://openalex.org/W4391110725,2024,2024-01-20,Caffeine and Taurine from Energy Drinks—A Review,https://doi.org/10.3390/cosmetics11010012,Cosmetics,article,13,downloaded,https://www.mdpi.com/2079-9284/11/1/12/pdf?version=1705903582,exclude,wrong_domain,AX_review_or_mixed_population,,,,not_applicable,B001,triage:B001; conf=0.75; method=ocr_first_page; doi=no; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4391469982,https://openalex.org/W4391469982,2024,2024-01-31,Exploring the Landscape of Alertness-Enhancing Drugs: A Contemporary Review,https://doi.org/10.48175/ijarsct-15292,International Journal of Advanced Research in Science Communication and Technology,review,0,downloaded,https://doi.org/10.48175/ijarsct-15292,exclude,intervention_not_natural,AX_review_or_mixed_population,,,,not_applicable,B001,triage:B001; conf=0.75; method=pypdf; doi=no; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4391885504,https://openalex.org/W4391885504,2024,2024-02-16,Short-Term Effects of Heart Rate Variability Biofeedback on Working Memory,https://doi.org/10.1007/s10484-024-09624-7,Applied Psychophysiology and Biofeedback,article,9,downloaded,https://link.springer.com/content/pdf/10.1007/s10484-024-09624-7.pdf,exclude,outcome_not_tonic_arousal_or_vigilance,A1_explicit_low_arousal,D0_acute_only,H0_not_tested,,not_applicable,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4392054784,https://openalex.org/W4392054784,2024,2024-02-21,"Focus on insomnia, nightmares and mental health",https://doi.org/10.1111/jsr.14188,Journal of Sleep Research,editorial,1,downloaded,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jsr.14188,exclude,not_primary_study_or_high_value_review,A1_explicit_low_arousal,,H0_not_tested,,not_applicable,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4392563308,https://openalex.org/W4392563308,2024,2024-03-07,"The Effect of Creatine Nitrate and Caffeine Individually or Combined on Exercise Performance and Cognitive Function: A Randomized, Crossover, Double-Blind, Placebo-Controlled Trial",https://doi.org/10.3390/nu16060766,Nutrients,article,14,downloaded,https://www.mdpi.com/2072-6643/16/6/766/pdf?version=1709802199,exclude,wrong_domain,A1_explicit_low_arousal,D0_acute_only,H3_unclear_or_mixed,,not_applicable,B001,triage:B001; conf=0.85; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4392966541,https://openalex.org/W4392966541,2024,2024-03-19,Integrated use of biofeedback and neurofeedback techniques in treating pathological conditions and improving performance: a narrative review,https://doi.org/10.3389/fnins.2024.1358481,Frontiers in Neuroscience,review,53,downloaded,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2024.1358481/pdf,exclude,wrong_domain,AX_review_or_mixed_population,,,,not_applicable,B001,triage:B001; conf=0.95; method=pypdf; doi=yes; title_match=1.00 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
W4393357375,https://openalex.org/W4393357375,2024,2024-03-31,An Architectural Solution to a Biological Problem: A Systematic Review of Lighting Designs in Healthcare Environments,https://doi.org/10.3390/app14072945,Applied Sciences,review,11,downloaded,https://www.mdpi.com/2076-3417/14/7/2945/pdf?version=1711866467,include,,AX_review_or_mixed_population,,,T2_context,todo,B001,triage:B001; conf=0.75; method=pypdf; doi=no; title_match=0.70 | manual_qa=B001_final,2026-02-14T13:16:04+00:00
