short_id,eligibility_tier,citation,publication_year,primary_intervention_category,exposure_duration_days,outcome_measure,outcome_timepoint,effect_direction,effect_size_reported,habituation_or_tolerance_signal,rob_overall,abstract_only_flag
W4211135645,T1_core,Cheng 2022 (Sleep),2022,sleep_timing,7,Smartphone PVT reaction time (5-min) after night shift,First night shift of each schedule (Table 2),improves,"First shift PVT RT: 0.67 s (morning sleep) vs 0.55 s (evening sleep), p=0.001; adjusted p=0.015 (Table 2). Lapses: 18.5 vs 15.4, p=0.009; adjusted p=0.115.",yes,some_concerns,no
W3180479501,T1_core,Connolly 2021 (BMC Neurology),2021,light,60,PVT mean RT (10-min),end of each 2-month condition (mixed model treatment effect estimate),improves,"Treatment effect estimate -28.36 ms (95% CI -47.48, -9.23), t=-2.91, d=-1.75, p=.004; n=18 for PVT.",no,unclear,no
W3180479501,T1_core,Connolly 2021 (BMC Neurology),2021,light,60,PVT fastest 10% RT (10-min),end of each 2-month condition (mixed model treatment effect estimate),improves,"Treatment effect estimate -15.10 ms (95% CI -25.03, -5.16), t=-2.98, d=-2.98, p=.003; n=18 for PVT.",no,unclear,no
W3200473843,T1_core,Connolly 2021 (Frontiers Neurology; case studies),2021,light,60,PVT mean RT (ms),"Case 2 only: baseline, mid/end treatment, mid/end control",unclear,Case 2 PVT mean RT (ms): 310.44 (baseline) -> 300.03 (mid T) -> 314.75 (end T) -> 288.65 (mid C) -> 268.51 (end C) (Table 2).,unclear,high,no
W2094064988,T1_core,Boudreau 2013 (PLoS ONE),2013,light,7,"PVT median reaction speed (1/RT) (10-min), by time awake","Post-night-shift lab visit (daytime sleep schedule), across wake period",improves,"Median reaction speed: no main effect of adaptation group (p=0.88); main effect of visit (p=0.012); main effect of time awake (p=0.036); 3-way interaction (group×visit×time-awake) p=0.046. During visit 2, adapted group faster than non-adapted after 8–14h awake (p≤0.045).",unclear,some_concerns,no
W1981621779,T1_core,Tanaka 2011 (J Occup Health),2011,light,30,PVT mean RT (msec; 5-min),"Day-shift afternoon break (~14:00-15:00), repeated measures; subset n=11",improves,"Estimated mean RT: 264 ms (non-BL) vs 235.8 ms (BL); diff -28.2 ms (95% CI -46.2, -10.2), F(1,17.0)=11.0, p<0.01 (Table 4).",unclear,some_concerns,no
W1981621779,T1_core,Tanaka 2011 (J Occup Health),2011,light,30,PVT lapses (>500 ms),Day-shift afternoon break; subset n=11,improves,"Estimated lapses: 2.03 (non-BL) vs 0.84 (BL); diff -1.19 (95% CI -1.98, -0.40), F(1,17.4)=10.0, p<0.01 (Table 4).",unclear,some_concerns,no
W2128384646,T1_core,Kubo 2011 (Scand J Work Environ Health),2011,sleep_timing,3,PVT reaction time / reaction speed (10-min; PVT-192),Monday afternoon after the weekend (post-intervention vs post-control weekend),improves,"Significantly shorter reaction times on Mondays after the intervention vs habitual weekend sleep (p<0.05); overall condition×day interaction F(3,175)=6.01, p=0.001 (Figure 3; Table 1).",yes,some_concerns,no
W2128384646,T1_core,Kubo 2011 (Scand J Work Environ Health),2011,sleep_timing,3,PVT lapses (>500 ms) (10-min),Monday afternoon after the weekend,improves,"Fewer PVT lapses on Mondays after intervention vs habitual weekend sleep (p<0.05); overall condition×day interaction F(3,175)=4.53, p=0.004 (Figure 3; Table 1).",yes,some_concerns,no
W2128384646,T1_core,Kubo 2011 (Scand J Work Environ Health),2011,sleep_timing,3,PVT reaction time / reaction speed (10-min),Thursday afternoon after the weekend,worsens,"Significantly longer reaction times on Thursdays after intervention vs habitual weekend sleep (p<0.05), despite Monday improvement; condition×day interaction F(3,175)=6.01, p=0.001 (Figure 3; Table 1).",yes,some_concerns,no
W2128384646,T1_core,Kubo 2011 (Scand J Work Environ Health),2011,sleep_timing,3,PVT lapses (>500 ms) (10-min),Thursday afternoon after the weekend,worsens,"Significantly more lapses on Thursdays after intervention vs habitual weekend sleep (p<0.05); condition×day interaction F(3,175)=4.53, p=0.004 (Figure 3; Table 1).",yes,some_concerns,no
W2165853793,T1_core,Bjorvatn 2007 (Scand J Work Environ Health),2007,melatonin,4,Objective 5-min serial reaction-time test (Palm) at 3 timepoints during shifts,"Nights 1,3,6 and days 1,3,6",unclear,"No significant differences in reaction times when averaged across night shift or day shift. Day shift showed condition×day interaction F(4,44)=4.1, p=0.025 (Table 1), driven by increased reaction times on day 1 after melatonin and bright light (narrative; Figure 4).",unclear,some_concerns,no
W2158979070,T1_core,Smith-Coggins 1997 (Acad Emerg Med),1997,multi,30,PVT (10-min): median RT and lapses,multiple times during shifts; compared across conditions and across shift hours,null,PVT performance comparable regardless of intervention; neither experimental nor active placebo altered PVT (Fig 6). Median RT increased across the night shift when averaged across interventions (p=0.007).,unclear,some_concerns,no
W4394879532,T2_context,Wang 2024 (Buildings),2024,light,8,PVT reaction time (5-min at 10:00),Daily across confinement (reported comparisons day 3/4 vs day 8),worsens,Reaction time decreased on day 3 (practice effect; p=0.050) then increased day-by-day; day 8 reaction time significantly longer than day 3 (p=0.026) and day 4 (p=0.016). Error counts increased trend but not significant.,no,high,no
W4385264619,T2_context,Bogataj 2023 (Aging Clinical and Experimental Research),2023,multi,84,Test of Attentional Performance (TAP) Alertness subtest: reaction time (ms),Pre vs post 12-week intervention; group x time interaction,improves,"Group x time interaction F(1,41)=6.15, p=0.017, eta^2=0.13. Alertness RT (ms): EXP 391±117 -> 348±94 (change +43.3, 95% CI [-8.7, 95.3], p=0.098, ES=+0.37); CON 428±216 -> 455±236 (change -26.7, 95% CI [-52.0, -1.4], p=0.040, ES=-0.48).",no,some_concerns,no
